kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,celdirici2_x,celdirici2_y,celdirici2_z,celdirici2_qw,celdirici2_qx,celdirici2_qy,celdirici2_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-23.200000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,5.376296,-8.682207,0.750000,0.233445,0.000000,0.000000,0.972370,-23.200045,0.007485,40.376666,0.464906,-0.532787,0.464906,0.532787,4.167
1,0.033333,-23.040000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,5.251555,-8.618648,0.750000,0.233445,0.000000,0.000000,0.972370,-23.040051,0.008745,40.792000,0.457825,-0.538884,0.457825,0.538884,0.000
2,0.066667,-22.880000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,5.126814,-8.555089,0.750000,0.233445,0.000000,0.000000,0.972370,-22.880055,0.009789,41.207333,0.450787,-0.544785,0.450787,0.544785,4.167
3,0.100000,-22.720000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,5.002073,-8.491531,0.750000,0.233445,0.000000,0.000000,0.972370,-22.720060,0.011071,41.622666,0.443798,-0.550494,0.443798,0.550494,4.167
4,0.133333,-22.560000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,4.877332,-8.427972,0.750000,0.233445,0.000000,0.000000,0.972370,-22.560065,0.012203,42.037999,0.436894,-0.555989,0.436894,0.555989,0.000
5,0.166667,-22.400000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,4.752591,-8.364413,0.750000,0.233445,0.000000,0.000000,0.972370,-22.400070,0.013300,42.453333,0.430103,-0.561259,0.430103,0.561259,4.167
6,0.200000,-22.240000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,4.627850,-8.300855,0.750000,0.233445,0.000000,0.000000,0.972370,-22.240079,0.014916,42.868666,0.423415,-0.566322,0.423415,0.566322,4.167
7,0.233333,-22.080000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,4.503109,-8.237296,0.750000,0.233445,0.000000,0.000000,0.972370,-22.080083,0.015957,43.283999,0.416909,-0.571128,0.416909,0.571128,0.000
8,0.266667,-21.920000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,4.378368,-8.173737,0.750000,0.233445,0.000000,0.000000,0.972370,-21.920087,0.017014,43.699332,0.410589,-0.575688,0.410589,0.575688,4.167
9,0.295833,-21.780000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,4.269220,-8.118124,0.750000,0.233445,0.000000,0.000000,0.972370,-21.780089,0.017765,44.062749,0.405230,-0.579472,0.405230,0.579472,0.000
