kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,celdirici2_x,celdirici2_y,celdirici2_z,celdirici2_qw,celdirici2_qx,celdirici2_qy,celdirici2_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,174.200000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,117.666666,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,105.833333,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,174.200000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,174.040000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,118.000000,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,106.200000,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,174.040000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,173.880000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,118.333333,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,106.566666,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,173.880000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,173.720000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,118.666666,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,106.933333,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,173.720000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,173.560000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,119.000000,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,107.299999,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,173.560000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,173.400000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,119.333333,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,107.666666,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,173.400000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,173.240000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,119.666666,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,108.033333,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,173.240000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,173.080000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,119.999999,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,108.399999,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,173.080000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,172.920000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,120.333333,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,108.766666,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,172.920000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,172.780000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,120.624999,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,109.087499,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,172.780000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,172.620000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,120.958333,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,109.454166,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,172.620000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,172.460000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,121.291666,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,109.820832,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,172.460000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,172.300000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,121.624999,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,110.187499,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,172.300000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,172.140000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,121.958332,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,110.554166,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,172.140000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,171.980000,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,122.291666,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,110.920832,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,171.980000,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,171.820001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,122.624999,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,111.287499,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,171.820001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,171.660001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,122.958332,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,111.654165,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,171.660001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
17,0.562500,171.500001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,123.291666,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,112.020832,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,171.500001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
18,0.595833,171.340001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,123.624999,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,112.387499,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,171.340001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
19,0.629167,171.180001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,123.958332,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,112.754165,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,171.180001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
20,0.662500,171.020001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,124.291665,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,113.120832,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,171.020001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
21,0.695833,170.860001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,124.624999,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,113.487498,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,170.860001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,170.720001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,124.916665,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,113.808332,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,170.720001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
23,0.758333,170.560001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,125.249999,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,114.174998,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,170.560001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
24,0.791667,170.400001,155.000000,0.783950,0.000000,0.000000,0.000000,1.000000,125.583332,161.000000,0.783950,1.000000,0.000000,0.000000,0.000000,114.541665,149.000000,0.783950,1.000000,0.000000,0.000000,0.000000,170.400001,155.000000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
