kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-111.300000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-111.300000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,-111.040000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-111.040000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,-110.780000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-110.780000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,-110.520000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-110.520000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,-110.260000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-110.260000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,-110.000000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-110.000000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,-109.740000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-109.740000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,-109.480000,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-109.480000,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,-109.220001,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-109.220001,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,-108.992501,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-108.992501,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,-108.732501,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-108.732501,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,-108.472501,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-108.472501,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,-108.212501,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-108.212501,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,-107.952501,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-107.952501,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,-107.692501,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-107.692501,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,-107.432501,137.600000,0.783950,1.000000,0.000000,0.000000,0.000000,-107.432501,137.600000,80.000000,0.500000,-0.500000,0.500000,0.500000,0.000
