kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,176.666666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,176.666666,155.000000,50.625000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,177.000000,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,177.000000,155.000000,50.750000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,177.333333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,177.333333,155.000000,50.875000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,177.666666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,177.666666,155.000000,51.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,178.000000,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,178.000000,155.000000,51.125000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,178.333333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,178.333333,155.000000,51.250000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,178.666666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,178.666666,155.000000,51.375000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,178.999999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,178.999999,155.000000,51.500000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,179.333333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,179.333333,155.000000,51.625000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,179.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,179.624999,155.000000,51.734375,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,179.958333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,179.958333,155.000000,51.859375,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,180.291666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,180.291666,155.000000,51.984375,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,180.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,180.624999,155.000000,52.109375,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,180.958332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,180.958332,155.000000,52.234375,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,181.291666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,181.291666,155.000000,52.359375,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,181.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,181.624999,155.000000,52.484375,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,181.958332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,181.958332,155.000000,52.609375,0.500000,-0.500000,0.500000,0.500000,4.167
17,0.562500,182.291666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,182.291666,155.000000,52.734375,0.500000,-0.500000,0.500000,0.500000,4.167
18,0.595833,182.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,182.624999,155.000000,52.859375,0.500000,-0.500000,0.500000,0.500000,0.000
19,0.629167,182.958332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,182.958332,155.000000,52.984375,0.500000,-0.500000,0.500000,0.500000,4.167
20,0.662500,183.291665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,183.291665,155.000000,53.109375,0.500000,-0.500000,0.500000,0.500000,4.167
21,0.695833,183.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,183.624999,155.000000,53.234374,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,183.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,183.916665,155.000000,53.343749,0.500000,-0.500000,0.500000,0.500000,4.167
23,0.758333,184.249999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,184.249999,155.000000,53.468749,0.500000,-0.500000,0.500000,0.500000,0.000
24,0.791667,184.583332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,184.583332,155.000000,53.593749,0.500000,-0.500000,0.500000,0.500000,4.167
25,0.825000,184.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,184.916665,155.000000,53.718749,0.500000,-0.500000,0.500000,0.500000,4.167
26,0.858333,185.249998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,185.249998,155.000000,53.843749,0.500000,-0.500000,0.500000,0.500000,0.000
27,0.891667,185.583332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,185.583332,155.000000,53.968749,0.500000,-0.500000,0.500000,0.500000,4.167
28,0.925000,185.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,185.916665,155.000000,54.093749,0.500000,-0.500000,0.500000,0.500000,4.167
29,0.958333,186.249998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,186.249998,155.000000,54.218749,0.500000,-0.500000,0.500000,0.500000,0.000
30,0.991667,186.583331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,186.583331,155.000000,54.343749,0.500000,-0.500000,0.500000,0.500000,4.167
31,1.025000,186.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,186.916665,155.000000,54.468749,0.500000,-0.500000,0.500000,0.500000,4.167
32,1.058333,187.249998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,187.249998,155.000000,54.593749,0.500000,-0.500000,0.500000,0.500000,0.000
33,1.091666,187.583331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,187.583331,155.000000,54.718749,0.500000,-0.500000,0.500000,0.500000,4.167
34,1.120833,187.874998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,187.874998,155.000000,54.828124,0.500000,-0.500000,0.500000,0.500000,0.000
35,1.154166,188.208331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,188.208331,155.000000,54.953124,0.500000,-0.500000,0.500000,0.500000,4.167
36,1.187500,188.541665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,188.541665,155.000000,55.078124,0.500000,-0.500000,0.500000,0.500000,4.167
37,1.220833,188.874998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,188.874998,155.000000,55.203124,0.500000,-0.500000,0.500000,0.500000,0.000
38,1.254166,189.208331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,189.208331,155.000000,55.328124,0.500000,-0.500000,0.500000,0.500000,4.167
39,1.287500,189.541664,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,189.541664,155.000000,55.453124,0.500000,-0.500000,0.500000,0.500000,4.167
40,1.320833,189.874998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,189.874998,155.000000,55.578124,0.500000,-0.500000,0.500000,0.500000,0.000
41,1.354166,190.208331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,190.208331,155.000000,55.703124,0.500000,-0.500000,0.500000,0.500000,4.167
