kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-23.200000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.248147,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,-23.040000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.725259,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,-22.880000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-20.218208,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,-22.720000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.728716,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,-22.560000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-19.258976,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,-22.400000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.812208,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,-22.240000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.389384,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,-22.080000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.992255,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,-21.920000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.623787,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,-21.780000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-17.324481,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
