kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-23.200000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.200105,0.000000,44.988238,0.419102,-0.419102,0.569520,0.569520,4.167
1,0.033333,-23.040000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.040117,0.000000,44.986431,0.406735,-0.406735,0.578417,0.578417,0.000
2,0.066667,-22.880000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.880125,0.000000,44.984987,0.396923,-0.396923,0.585194,0.585194,4.167
3,0.100000,-22.720000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.720129,0.000000,44.983931,0.389917,-0.389917,0.589885,0.589885,4.167
4,0.133333,-22.560000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.560130,0.000000,44.983289,0.385978,-0.385978,0.592470,0.592470,0.000
5,0.166667,-22.400000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.400131,0.000000,44.983101,0.385411,-0.385411,0.592840,0.592840,4.167
6,0.200000,-22.240000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.240131,0.000000,44.983351,0.388083,-0.388083,0.591093,0.591093,4.167
7,0.233333,-22.080000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.080133,0.000000,44.984034,0.393898,-0.393898,0.587235,0.587235,0.000
8,0.266667,-21.920000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.920137,0.000000,44.985148,0.402770,-0.402770,0.581186,0.581186,4.167
9,0.295833,-21.780000,-2.200000,0.750000,1.000000,0.000000,0.000000,0.000000,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.780144,0.000000,44.986431,0.412619,-0.412619,0.574234,0.574234,0.000
