kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-22.377108,-2.121422,0.750000,0.998784,0.000000,0.000000,0.049301,-18.028825,1.862477,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,-22.058368,-2.087296,0.750000,0.998272,0.000000,0.000000,0.058761,-16.926877,1.661981,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,-21.742966,-2.047345,0.750000,0.997686,0.000000,0.000000,0.067990,-15.877829,1.263340,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,-21.431257,-2.002152,0.750000,0.997034,0.000000,0.000000,0.076962,-14.887186,0.689651,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,-21.123697,-1.952058,0.750000,0.996326,0.000000,0.000000,0.085641,-13.961947,-0.039786,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,-20.820959,-1.897245,0.750000,0.995574,0.000000,0.000000,0.093980,-13.112352,-0.905224,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,-20.523247,-1.838354,0.750000,0.994789,0.000000,0.000000,0.101959,-12.341099,-1.869804,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,-20.230932,-1.775817,0.750000,0.993981,0.000000,0.000000,0.109551,-11.653340,-2.901077,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,-19.944648,-1.709956,0.750000,0.993167,0.000000,0.000000,0.116705,-11.057961,-3.963863,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,-19.699024,-1.650151,0.750000,0.992455,0.000000,0.000000,0.122607,-10.610827,-4.889441,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,-19.424570,-1.579594,0.750000,0.991659,0.000000,0.000000,0.128892,-10.193306,-5.907144,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,-19.156718,-1.507285,0.750000,0.990888,0.000000,0.000000,0.134685,-9.872749,-6.849486,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,-18.895692,-1.433705,0.750000,0.990156,0.000000,0.000000,0.139967,-9.650509,-7.684764,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,-18.642036,-1.359320,0.750000,0.989477,0.000000,0.000000,0.144692,-9.531841,-8.376867,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,-18.395594,-1.284659,0.750000,0.988857,0.000000,0.000000,0.148867,-9.511677,-8.907696,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,-18.156513,-1.210176,0.750000,0.988307,0.000000,0.000000,0.152478,-9.588837,-9.259393,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,-17.925280,-1.136362,0.750000,0.987838,0.000000,0.000000,0.155485,-9.765740,-9.410413,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
17,0.562500,-17.701648,-1.063624,0.750000,0.987455,0.000000,0.000000,0.157903,-10.034863,-9.364458,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
18,0.595833,-17.485701,-0.992353,0.750000,0.987162,0.000000,0.000000,0.159724,-10.392590,-9.123075,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
19,0.629167,-17.277880,-0.923018,0.750000,0.986969,0.000000,0.000000,0.160913,-10.838310,-8.685993,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
20,0.662500,-17.077873,-0.855883,0.750000,0.986874,0.000000,0.000000,0.161494,-11.362643,-8.077563,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
21,0.695833,-16.885719,-0.791245,0.750000,0.986879,0.000000,0.000000,0.161464,-11.959822,-7.318253,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,-16.724387,-0.737076,0.750000,0.986969,0.000000,0.000000,0.160913,-12.539647,-6.545928,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
