kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-22.377080,-2.121416,0.750000,0.998784,0.000000,0.000000,0.049303,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-18.028244,1.870569,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,-22.058340,-2.087289,0.750000,0.998272,0.000000,0.000000,0.058764,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-16.926296,1.670073,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,-21.742938,-2.047336,0.750000,0.997686,0.000000,0.000000,0.067993,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-15.877247,1.271432,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,-21.431230,-2.002142,0.750000,0.997034,0.000000,0.000000,0.076964,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-14.886604,0.697743,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,-21.123670,-1.952046,0.750000,0.996326,0.000000,0.000000,0.085644,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-13.961366,-0.031694,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,-20.820933,-1.897231,0.750000,0.995574,0.000000,0.000000,0.093982,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-13.111771,-0.897132,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,-20.523221,-1.838339,0.750000,0.994788,0.000000,0.000000,0.101962,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-12.340518,-1.861713,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,-20.230906,-1.775800,0.750000,0.993981,0.000000,0.000000,0.109553,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-11.652759,-2.892985,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,-19.944622,-1.709938,0.750000,0.993166,0.000000,0.000000,0.116707,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-11.057379,-3.955771,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,-19.698998,-1.650132,0.750000,0.992455,0.000000,0.000000,0.122610,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-10.610246,-4.881349,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,-19.424545,-1.579573,0.750000,0.991658,0.000000,0.000000,0.128894,18.264584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-10.192724,-5.899052,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,-19.156693,-1.507263,0.750000,0.990888,0.000000,0.000000,0.134688,18.147917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-9.872167,-6.841394,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,-18.895668,-1.433682,0.750000,0.990156,0.000000,0.000000,0.139969,18.031250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-9.649928,-7.676673,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,-18.642012,-1.359296,0.750000,0.989476,0.000000,0.000000,0.144694,17.914584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-9.531260,-8.368775,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,-18.395571,-1.284634,0.750000,0.988857,0.000000,0.000000,0.148870,17.797917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-9.511095,-8.899604,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,-18.156490,-1.210150,0.750000,0.988306,0.000000,0.000000,0.152481,17.681250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-9.588256,-9.251301,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,-17.925257,-1.136334,0.750000,0.987838,0.000000,0.000000,0.155487,17.564584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-9.765159,-9.402321,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
17,0.562500,-17.701625,-1.063596,0.750000,0.987454,0.000000,0.000000,0.157905,17.447917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-10.034282,-9.356367,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
18,0.595833,-17.485678,-0.992323,0.750000,0.987161,0.000000,0.000000,0.159726,17.331250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-10.392009,-9.114984,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
19,0.629167,-17.277858,-0.922988,0.750000,0.986968,0.000000,0.000000,0.160915,17.214584,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-10.837729,-8.677901,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
20,0.662500,-17.077851,-0.855851,0.750000,0.986873,0.000000,0.000000,0.161496,17.097917,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-11.362062,-8.069471,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
21,0.695833,-16.885697,-0.791213,0.750000,0.986878,0.000000,0.000000,0.161467,16.981250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-11.959241,-7.310161,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,-16.724366,-0.737043,0.750000,0.986968,0.000000,0.000000,0.160915,16.879167,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-12.539066,-6.537836,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
23,0.758333,-16.547242,-0.677886,0.750000,0.987161,0.000000,0.000000,0.159726,16.762501,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-13.256391,-5.567257,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
