kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,-22.706772,-2.137343,0.750000,0.998784,0.000000,0.000000,0.049301,19.416667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.200000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,-22.451893,-2.110054,0.750000,0.998272,0.000000,0.000000,0.058761,19.300000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-23.040000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,-22.199160,-2.078039,0.750000,0.997686,0.000000,0.000000,0.067990,19.183333,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.880000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,-21.948799,-2.041739,0.750000,0.997034,0.000000,0.000000,0.076962,19.066667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.720000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,-21.701096,-2.001393,0.750000,0.996326,0.000000,0.000000,0.085641,18.950000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.560000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,-21.456479,-1.957102,0.750000,0.995574,0.000000,0.000000,0.093980,18.833334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.400000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,-21.215069,-1.909347,0.750000,0.994789,0.000000,0.000000,0.101959,18.716667,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.240000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,-20.977097,-1.858434,0.750000,0.993981,0.000000,0.000000,0.109551,18.600000,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-22.080000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,-20.742957,-1.804567,0.750000,0.993167,0.000000,0.000000,0.116705,18.483334,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.920000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,-20.541173,-1.755435,0.750000,0.992455,0.000000,0.000000,0.122607,18.381250,2.200000,0.750000,0.000000,0.000000,0.000000,1.000000,-21.780000,0.000000,45.000000,0.500000,-0.500000,0.500000,0.500000,0.000
