kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,celdirici2_x,celdirici2_y,celdirici2_z,celdirici2_qw,celdirici2_qx,celdirici2_qy,celdirici2_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,176.666666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,243.333334,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,258.166667,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,176.666666,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,177.000000,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,243.000000,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,257.800000,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,177.000000,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,177.333333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,242.666667,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,257.433334,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,177.333333,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,177.666666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,242.333334,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,257.066667,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,177.666666,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,178.000000,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,242.000000,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,256.700001,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,178.000000,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,178.333333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,241.666667,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,256.333334,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,178.333333,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,178.666666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,241.333334,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,255.966667,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,178.666666,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,178.999999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,241.000001,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,255.600001,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,178.999999,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,179.333333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,240.666667,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,255.233334,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,179.333333,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,179.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,240.375001,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,254.912501,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,179.624999,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,179.958333,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,240.041667,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,254.545834,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,179.958333,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,180.291666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,239.708334,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,254.179168,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,180.291666,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,180.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,239.375001,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,253.812501,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,180.624999,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,180.958332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,239.041668,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,253.445834,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,180.958332,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,181.291666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,238.708334,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,253.079168,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,181.291666,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,181.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,238.375001,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,252.712501,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,181.624999,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,181.958332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,238.041668,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,252.345835,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,181.958332,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
17,0.562500,182.291666,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,237.708334,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,251.979168,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,182.291666,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
18,0.595833,182.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,237.375001,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,251.612501,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,182.624999,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
19,0.629167,182.958332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,237.041668,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,251.245835,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,182.958332,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
20,0.662500,183.291665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,236.708335,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,250.879168,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,183.291665,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
21,0.695833,183.624999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,236.375001,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,250.512502,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,183.624999,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,183.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,236.083335,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,250.191668,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,183.916665,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
23,0.758333,184.249999,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,235.750001,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,249.825002,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,184.249999,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
24,0.791667,184.583332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,235.416668,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,249.458335,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,184.583332,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
25,0.825000,184.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,235.083335,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,249.091668,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,184.916665,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
26,0.858333,185.249998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,234.750002,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,248.725002,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,185.249998,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
27,0.891667,185.583332,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,234.416668,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,248.358335,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,185.583332,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
28,0.925000,185.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,234.083335,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,247.991669,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,185.916665,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
29,0.958333,186.249998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,233.750002,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,247.625002,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,186.249998,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
30,0.991667,186.583331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,233.416669,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,247.258335,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,186.583331,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
31,1.025000,186.916665,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,233.083335,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,246.891669,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,186.916665,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
32,1.058333,187.249998,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,232.750002,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,246.525002,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,187.249998,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,0.000
33,1.091666,187.583331,155.000000,0.783950,1.000000,0.000000,0.000000,0.000000,232.416669,161.000000,0.783950,0.000000,0.000000,0.000000,1.000000,246.158336,149.000000,0.783950,0.000000,0.000000,0.000000,1.000000,187.583331,155.000000,160.000000,0.500000,-0.500000,0.500000,0.500000,4.167
