kare,t,hedef_x,hedef_y,hedef_z,hedef_qw,hedef_qx,hedef_qy,hedef_qz,celdirici_x,celdirici_y,celdirici_z,celdirici_qw,celdirici_qx,celdirici_qy,celdirici_qz,celdirici2_x,celdirici2_y,celdirici2_z,celdirici2_qw,celdirici2_qx,celdirici2_qy,celdirici2_qz,kam_x,kam_y,kam_z,kam_qw,kam_qx,kam_qy,kam_qz,senkron_bosluk_ms
0,0.000000,91.150000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,133.766667,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,119.726296,-47.732207,0.750000,0.233445,0.000000,0.000000,0.972370,91.150000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
1,0.033333,91.310000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,133.650000,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,119.601555,-47.668648,0.750000,0.233445,0.000000,0.000000,0.972370,91.310000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
2,0.066667,91.470000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,133.533333,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,119.476814,-47.605089,0.750000,0.233445,0.000000,0.000000,0.972370,91.470000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
3,0.100000,91.630000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,133.416667,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,119.352073,-47.541531,0.750000,0.233445,0.000000,0.000000,0.972370,91.630000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
4,0.133333,91.790000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,133.300000,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,119.227332,-47.477972,0.750000,0.233445,0.000000,0.000000,0.972370,91.790000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
5,0.166667,91.950000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,133.183334,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,119.102591,-47.414413,0.750000,0.233445,0.000000,0.000000,0.972370,91.950000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
6,0.200000,92.110000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,133.066667,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.977850,-47.350855,0.750000,0.233445,0.000000,0.000000,0.972370,92.110000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
7,0.233333,92.270000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.950000,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.853109,-47.287296,0.750000,0.233445,0.000000,0.000000,0.972370,92.270000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
8,0.266667,92.430000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.833334,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.728368,-47.223737,0.750000,0.233445,0.000000,0.000000,0.972370,92.430000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
9,0.295833,92.570000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.731250,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.619220,-47.168124,0.750000,0.233445,0.000000,0.000000,0.972370,92.570000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
10,0.329167,92.730000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.614584,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.494479,-47.104565,0.750000,0.233445,0.000000,0.000000,0.972370,92.730000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
11,0.362500,92.890000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.497917,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.369738,-47.041006,0.750000,0.233445,0.000000,0.000000,0.972370,92.890000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
12,0.395833,93.050000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.381250,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.244997,-46.977448,0.750000,0.233445,0.000000,0.000000,0.972370,93.050000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
13,0.429167,93.210000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.264584,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,118.120257,-46.913889,0.750000,0.233445,0.000000,0.000000,0.972370,93.210000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
14,0.462500,93.370000,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.147917,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.995516,-46.850330,0.750000,0.233445,0.000000,0.000000,0.972370,93.370000,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
15,0.495833,93.529999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,132.031250,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.870775,-46.786772,0.750000,0.233445,0.000000,0.000000,0.972370,93.529999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
16,0.529167,93.689999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.914584,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.746034,-46.723213,0.750000,0.233445,0.000000,0.000000,0.972370,93.689999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
17,0.562500,93.849999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.797917,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.621293,-46.659654,0.750000,0.233445,0.000000,0.000000,0.972370,93.849999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
18,0.595833,94.009999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.681250,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.496552,-46.596096,0.750000,0.233445,0.000000,0.000000,0.972370,94.009999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
19,0.629167,94.169999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.564584,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.371811,-46.532537,0.750000,0.233445,0.000000,0.000000,0.972370,94.169999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
20,0.662500,94.329999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.447917,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.247070,-46.468978,0.750000,0.233445,0.000000,0.000000,0.972370,94.329999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
21,0.695833,94.489999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.331250,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.122329,-46.405420,0.750000,0.233445,0.000000,0.000000,0.972370,94.489999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
22,0.725000,94.629999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.229167,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,117.013181,-46.349806,0.750000,0.233445,0.000000,0.000000,0.972370,94.629999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
23,0.758333,94.789999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,131.112501,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.888440,-46.286247,0.750000,0.233445,0.000000,0.000000,0.972370,94.789999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
24,0.791667,94.949999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.995834,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.763699,-46.222689,0.750000,0.233445,0.000000,0.000000,0.972370,94.949999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
25,0.825000,95.109999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.879167,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.638958,-46.159130,0.750000,0.233445,0.000000,0.000000,0.972370,95.109999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
26,0.858333,95.269999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.762501,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.514218,-46.095571,0.750000,0.233445,0.000000,0.000000,0.972370,95.269999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
27,0.891667,95.429999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.645834,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.389477,-46.032013,0.750000,0.233445,0.000000,0.000000,0.972370,95.429999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
28,0.925000,95.589999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.529167,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.264736,-45.968454,0.750000,0.233445,0.000000,0.000000,0.972370,95.589999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
29,0.958333,95.749999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.412501,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.139995,-45.904895,0.750000,0.233445,0.000000,0.000000,0.972370,95.749999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
30,0.991667,95.909999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.295834,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,116.015254,-45.841337,0.750000,0.233445,0.000000,0.000000,0.972370,95.909999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
31,1.025000,96.069999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.179167,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.890513,-45.777778,0.750000,0.233445,0.000000,0.000000,0.972370,96.069999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
32,1.058333,96.229999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,130.062501,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.765772,-45.714219,0.750000,0.233445,0.000000,0.000000,0.972370,96.229999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
33,1.091666,96.389999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.945834,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.641031,-45.650661,0.750000,0.233445,0.000000,0.000000,0.972370,96.389999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
34,1.120833,96.529999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.843751,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.531883,-45.595047,0.750000,0.233445,0.000000,0.000000,0.972370,96.529999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
35,1.154166,96.689999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.727084,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.407142,-45.531488,0.750000,0.233445,0.000000,0.000000,0.972370,96.689999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
36,1.187500,96.849999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.610417,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.282401,-45.467929,0.750000,0.233445,0.000000,0.000000,0.972370,96.849999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
37,1.220833,97.009999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.493751,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.157660,-45.404371,0.750000,0.233445,0.000000,0.000000,0.972370,97.009999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
38,1.254166,97.169999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.377084,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,115.032919,-45.340812,0.750000,0.233445,0.000000,0.000000,0.972370,97.169999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
39,1.287500,97.329999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.260417,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,114.908179,-45.277253,0.750000,0.233445,0.000000,0.000000,0.972370,97.329999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
40,1.320833,97.489999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.143751,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,114.783438,-45.213695,0.750000,0.233445,0.000000,0.000000,0.972370,97.489999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
41,1.354166,97.649999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,129.027084,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,114.658697,-45.150136,0.750000,0.233445,0.000000,0.000000,0.972370,97.649999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
42,1.387500,97.809999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,128.910418,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,114.533956,-45.086577,0.750000,0.233445,0.000000,0.000000,0.972370,97.809999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
43,1.420833,97.969999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,128.793751,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,114.409215,-45.023019,0.750000,0.233445,0.000000,0.000000,0.972370,97.969999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,0.000
44,1.454166,98.129999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,128.677084,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,114.284474,-44.959460,0.750000,0.233445,0.000000,0.000000,0.972370,98.129999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
45,1.487500,98.289999,-41.250000,0.783950,1.000000,0.000000,0.000000,0.000000,128.560418,-36.850000,0.750000,0.000000,0.000000,0.000000,1.000000,114.159733,-44.895902,0.750000,0.233445,0.000000,0.000000,0.972370,98.289999,0.000000,255.555556,0.500000,-0.500000,0.500000,0.500000,4.167
